路口ID,进口方向,来自路口ID
1,3,72
1,2,2
1,0,323
2,2,3
2,1,228
2,0,1
4,3,16
4,2,5
4,0,3
5,0,4
6,3,86
6,2,188
6,1,186
7,3,29
7,2,220
7,1,28
8,3,215
8,2,248
8,1,211
10,3,174
10,2,97
10,0,94
11,0,104
12,3,207
12,0,206
13,3,222
13,1,191
16,0,4
17,3,225
17,2,61
17,0,62
18,1,225
19,3,180
19,2,57
20,3,21
20,2,56
20,1,180
20,0,65
21,3,22
21,2,235
21,1,20
21,0,179
22,1,21
22,0,66
24,3,257
24,2,192
24,1,23
24,0,196
25,3,164
25,2,106
25,1,257
26,3,27
26,2,169
26,1,164
28,3,7
28,2,221
28,1,163
28,0,85
29,3,165
29,2,213
29,1,7
29,0,86
30,3,162
30,2,32
30,1,165
30,0,31
32,3,53
32,2,33
32,1,258
32,0,30
33,3,338
33,2,34
33,0,32
34,3,279
35,2,284
35,1,98
35,0,285
36,1,261
36,0,182
37,2,38
37,1,41
37,0,36
38,3,282
38,2,39
38,1,357
38,0,37
41,3,37
41,2,336
41,1,347
41,0,42
42,3,261
42,2,41
42,1,348
43,3,341
43,2,44
43,1,252
43,0,56
44,2,246
44,1,234
44,0,43
45,2,46
45,1,50
45,0,237
46,2,47
46,1,51
46,0,45
47,2,48
47,1,52
47,0,46
48,2,340
48,1,53
48,0,47
49,3,286
49,1,276
49,0,281
50,3,45
50,2,51
50,1,253
50,0,230
51,3,46
51,2,52
51,1,342
51,0,50
52,3,47
52,2,53
52,1,339
52,0,51
53,3,48
53,2,54
53,1,32
53,0,52
54,2,247
54,0,53
55,3,87
55,2,271
55,1,269
56,3,235
56,2,43
56,1,177
56,0,20
57,3,177
57,2,172
57,1,175
57,0,19
58,3,175
58,2,59
58,1,226
59,3,173
59,2,236
59,0,58
60,3,226
60,2,253
60,1,162
60,0,61
61,3,60
61,1,31
61,0,17
62,3,238
62,2,17
62,1,251
63,1,238
64,0,70
65,2,20
66,3,327
66,2,22
66,0,178
67,3,330
67,2,178
67,1,68
67,0,329
68,3,67
68,1,69
69,3,68
69,1,70
70,3,69
70,2,64
70,1,71
70,0,334
72,3,232
72,1,1
73,3,326
73,2,74
73,1,245
73,0,325
74,2,218
74,1,223
74,0,73
75,3,219
75,2,250
75,1,216
75,0,218
76,3,187
76,2,185
76,1,90
76,0,14
77,3,185
77,2,84
77,1,78
77,0,90
78,2,83
78,1,160
79,3,273
79,1,272
80,3,262
80,1,354
80,0,355
81,3,155
81,1,156
82,3,275
82,1,161
83,3,84
83,2,26
83,1,275
83,0,78
84,3,85
84,2,27
84,1,83
84,0,77
85,3,186
85,2,28
85,1,84
85,0,187
86,3,183
86,2,29
86,1,6
87,3,264
87,1,55
88,3,259
88,1,264
88,0,352
89,3,90
89,2,184
89,1,259
89,0,91
90,3,76
90,2,77
90,1,89
91,3,191
91,2,89
91,1,353
91,0,350
92,3,107
92,2,166
92,0,169
93,3,108
93,2,171
93,1,106
93,0,166
94,2,10
94,0,95
95,3,170
95,2,94
95,1,168
95,0,171
96,3,200
96,2,98
96,1,97
96,0,249
97,3,96
97,0,10
98,3,35
98,2,99
98,1,362
98,0,96
99,3,260
99,1,100
99,0,98
100,3,99
100,2,346
100,1,101
100,0,97
101,3,100
101,2,364
101,1,102
101,0,363
102,3,101
102,2,366
102,1,287
102,0,365
104,2,11
104,1,195
104,0,105
105,3,168
105,2,104
105,1,194
105,0,106
106,3,93
106,2,105
106,1,192
106,0,25
107,3,211
107,2,108
107,1,92
108,3,210
108,2,109
108,1,93
108,0,107
109,3,209
109,2,9
109,1,170
109,0,108
110,3,111
110,2,216
110,1,222
110,0,288
111,3,112
111,2,223
111,0,349
112,3,245
112,2,111
112,1,113
112,0,114
113,3,112
113,2,288
113,0,114
114,3,356
114,2,112
114,1,113
114,0,367
